disease,description
Autism,"Autism spectrum disorder (ASD), or simply autism, is a neurodevelopmental disorder characterized by repetitive, restricted, and inflexible patterns of behavior, interests, and activities, as well as difficulties in social interaction and social communication. Sensory processing differences can produce difficulties in different areas, such as developing social relationships or performing instrumental activities of daily living."
Bad Breath (Halitosis),No summary available.
Bell's Palsy,"Bell's palsy is a type of facial paralysis that results in a temporary inability to control the facial muscles on the affected side of the face. In most cases, the weakness is temporary and significantly improves over weeks."
Beriberi,Thiamine deficiency is a medical condition of low levels of thiamine (vitamin B1). A severe and chronic form is known as beriberi.
Black Death,"The Black Death was a bubonic plague pandemic that occurred in Europe from 1346 to 1353. It was one of the most fatal pandemics in human history; as many as 50 million people perished, perhaps 50% of Europe's 14th century population."
Bleeding Gums,No summary available.
Blindness,"Visual or vision impairment (VI or VIP) is the partial or total inability of visual perception. In the absence of treatment such as corrective eyewear, assistive devices, and medical treatment, visual impairment may cause the individual difficulties with normal daily tasks, including reading and walking."
Botulism,"Botulism is a rare and potentially fatal illness caused by botulinum toxin, which is produced by the bacterium Clostridium botulinum. The disease begins with weakness, blurred vision, feeling tired, and trouble speaking."
Brain Tumour,"A brain tumor (sometimes referred more commonly as brain cancer) occurs when a group of cells within the brain turn cancerous and grow out of control, creating a mass. There are two main types of tumors: malignant (cancerous) tumors and benign (non-cancerous) tumors."
Breast Cancer / Carcinoma,No summary available.
Bronchitis,"Bronchitis is inflammation of the bronchi (large and medium-sized airways) in the lungs that causes coughing. Bronchitis usually begins as an infection in the nose, ears, throat, or sinuses."
Brucellosis,"Brucellosis is a zoonosis spread primarily via ingestion of unpasteurized milk from infected animals. It is also known as undulant fever, Malta fever, and Mediterranean fever."
Bubonic plague,"Bubonic plague is one of three types of plague caused by the bacterium Yersinia pestis. One to seven days after exposure to the bacteria, flu-like symptoms develop."
Bunion,"A bunion, also known as hallux valgus, is a deformity of the MTP joint connecting the big toe to the foot. The big toe often bends towards the other toes and the joint becomes red and painful."
Burns,No summary available.
Calculi,No summary available.
Campylobacter infection,"Campylobacteriosis is among the most common infections caused by a bacterium in humans, often as a foodborne illness. It is caused by the Campylobacter bacterium, most commonly C. jejuni."
Cancer,"Cancer is a group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body. These contrast with benign tumors, which do not spread."
Candidiasis,"Candidiasis is a fungal infection due to any species of the genus Candida (a yeast). When it affects the mouth, in some countries it is commonly called thrush."
Carbon monoxide poisoning,"Carbon monoxide poisoning typically occurs from breathing in carbon monoxide (CO) at excessive levels. Symptoms are often described as ""flu-like"" and commonly include headache, dizziness, weakness, vomiting, chest pain, and confusion."
Carpal Tunnel Syndrome,"Carpal tunnel syndrome (CTS) is a nerve compression syndrome associated with the collected signs and symptoms of compression  of the median nerve at the carpal tunnel in the wrist. Carpal tunnel syndrome usually has no known cause, but there are environmental and medical risk factors associated with the condition."
Cavities,No summary available.
Celiacs disease,No summary available.
Cerebral palsy,"Cerebral palsy (CP) is a group of movement disorders that appear in early childhood. Signs and symptoms vary among people and over time, but include poor coordination, stiff muscles, weak muscles, and tremors."
Chagas disease,"Chagas disease, also known as American trypanosomiasis, is a tropical parasitic disease caused by Trypanosoma cruzi. It is spread mostly by insects in the subfamily Triatominae, known as ""kissing bugs""."
Chalazion,"A chalazion (; plural chalazia or chalazions) or meibomian cyst is not a cyst but a granuloma in the eyelid that results from a blocked meibomian gland. It typically occurs in the middle of the eyelid, red, and not painful."
Chickenpox,"Chickenpox, also known as varicella ( VER-ə-SEL-ə), is a highly contagious disease caused by varicella zoster virus (VZV), a member of the herpesvirus family. The disease results in a characteristic skin rash that forms small, itchy blisters, which eventually scab over."
Chikungunya Fever,No summary available.
Childhood Exotropia,No summary available.
Chlamydia,"Chlamydia, or more specifically a chlamydia infection, is a sexually transmitted infection caused by the bacterium Chlamydia trachomatis. Most people who are infected have no symptoms."
Cholera,"Cholera () is an infection of the small intestine by some strains of the bacterium Vibrio cholerae. Symptoms may range from none, to mild, to severe."
Chorea,"Chorea, or (rarely) choreia, () is an abnormal involuntary movement disorder, characterized by quick movements of the hands or feet. It is one of a group of neurological disorders called dyskinesias."
Chronic fatigue syndrome,"Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) is a disabling chronic illness. People with ME/CFS experience profound fatigue that does not go away with rest, as well as sleep issues and problems with memory or concentration."
Chronic obstructive pulmonary disease (COPD),No summary available.
Cleft Lip and Cleft Palate,No summary available.
Colitis,Colitis is swelling or inflammation of the large intestine (colon). Colitis may be acute and self-limited or long-term.
Colorectal Cancer,"Colorectal cancer (CRC), also known as bowel cancer, colon cancer, or rectal cancer, is the development of cancer from the colon or rectum (parts of the large intestine). Signs and symptoms may include blood in the stool, a change in bowel movements, weight loss, abdominal pain and fatigue."
Common cold,"The common cold, or the cold, is a viral infectious disease of the upper respiratory tract that primarily affects the respiratory mucosa of the nose, throat, sinuses, and larynx. Signs and symptoms may appear in as little as two days after exposure to the virus."
Condyloma,No summary available.
Congenital anomalies (birth defects),No summary available.
Congestive heart disease,"Heart failure (HF), also known as congestive heart failure (CHF), is a syndrome caused by an impairment in the heart's ability to fill with and pump blood.
Although symptoms vary based on which side of the heart is affected, HF typically presents with shortness of breath, excessive fatigue, and bilateral leg swelling."
Corneal Abrasion,No summary available.
Coronary Heart Disease,"Coronary artery disease (CAD), also called coronary heart disease (CHD), or ischemic heart disease (IHD), is a type of heart disease involving the reduction of blood flow to the cardiac muscle due to a build-up of atheromatous plaque in the arteries of the heart. It is the most common of the cardiovascular diseases."
Coronavirus disease 2019 (COVID-19),"Coronavirus disease 2019 (COVID-19, also known as SARS-2) is a contagious disease caused by the coronavirus SARS-CoV-2. In January 2020, the disease spread worldwide, resulting in the COVID-19 pandemic."
Cough,"A cough is a sudden expulsion of air through the large breathing passages which can help clear them of fluids, irritants, foreign particles and microbes. As a protective reflex, coughing can be repetitive with the cough reflex following three phases: an inhalation, a forced exhalation against a closed glottis, and a violent release of air from the lungs following opening of the glottis, usually accompanied by a distinctive sound."
Crimean Congo haemorrhagic fever (CCHF),No summary available.
Dehydration,"In physiology, dehydration is a lack of total body water that disrupts metabolic processes. It occurs when free water loss exceeds intake, often resulting from excessive sweating, health conditions, or inadequate consumption of water."
Dementia,"Dementia is a syndrome associated with many neurodegenerative diseases, characterized by a general decline in cognitive abilities that affects a person's ability to perform everyday activities. This typically involves problems with memory, thinking, behavior, and motor control."
Dengue,"Dengue fever is a mosquito-borne disease caused by dengue virus, prevalent in tropical and subtropical areas. Asymptomatic infections are uncommon, mild cases happen frequently; if symptoms appear, they typically begin 3 to 14 days after infection."
Diabetes Mellitus,"Diabetes, also known as diabetes  mellitus, is a group of common endocrine diseases characterized by sustained high blood sugar levels. Diabetes is due to either the pancreas not producing enough of the hormone insulin, or the cells of the body becoming unresponsive to insulin's effects."
Diabetic Retinopathy,No summary available.
Diarrhea,"Diarrhea (American English), also spelled diarrhoea or diarrhœa (British English), is the condition of having at least three loose, liquid, or watery bowel movements in a day. It often lasts for a few days and can result in dehydration due to fluid loss."
Diphtheria,"Diphtheria is an infection caused by the bacterium Corynebacterium diphtheriae. Most infections are asymptomatic or have a mild clinical course, but in some outbreaks, the mortality rate approaches 10%."
Down's Syndrome,"Down syndrome or Down's syndrome, also known as trisomy 21, is a genetic disorder caused by the presence of all or part of a third copy of chromosome 21. It is usually associated with developmental delays, mild to moderate intellectual disability, and characteristic physical features."
Dracunculiasis (guinea-worm disease),No summary available.
Dysentery,"Dysentery (UK:  DISS-ən-tər-ee, US:  DISS-ən-terr-ee), historically known as the bloody flux, is a type of gastroenteritis that results in bloody diarrhea. Other symptoms may include fever, abdominal pain, and a feeling of incomplete defecation."
Ear infection,"Otitis is a general term for inflammation in ear or ear infection, inner ear infection, middle ear infection of the ear, in both humans and other animals. When infection is present, it may be viral or bacterial."
Early pregnancy loss,"Early pregnancy loss is a medical term that when referring to humans can variously be used to mean:

Death of an embryo or fetus during the first trimester. This can happen by implantation failure, miscarriage, embryo resorption, early fetal resorption or vanishing twin syndrome."
Ebola,"Ebola, also known as Ebola virus disease (EVD) and Ebola hemorrhagic fever (EHF), is a viral hemorrhagic fever in humans and other primates, caused by ebolaviruses. Symptoms typically start anywhere between two days and three weeks after infection."
Eclampsia,"Eclampsia is the onset of seizures (convulsions) in a pregnant woman with pre-eclampsia. Pre-eclampsia is a hypertensive disorder of pregnancy that presents with three main features: new onset of high blood pressure, large amounts of protein in the urine or other organ dysfunction, and edema."
Ectopic pregnancy,"Ectopic pregnancy is a complication of pregnancy in which the embryo attaches outside the uterus. Signs and symptoms classically include abdominal pain and vaginal bleeding, but fewer than 50 percent of affected women have both of these symptoms."
Eczema,"Dermatitis  is a term used for different types of skin inflammation, typically characterized by itchiness, redness and a rash. In cases of short duration, there may be small blisters, while in long-term cases the skin may become thickened."
Endometriosis,"Endometriosis is a disease in which cells like those in the endometrium, the layer of tissue that normally covers the inside of the uterus, grow outside the uterus. It occurs in humans and a limited number of other menstruating mammals."
Epilepsy,"Epilepsy is a group of non-communicable neurological disorders characterized by recurrent epileptic seizures. An epileptic seizure is the clinical manifestation of an abnormal, excessive, and synchronized electrical discharge in the neurons."
Fibroids,No summary available.
Fibromyalgia,"Fibromyalgia (FM) is a functional somatic medical syndrome with symptoms of chronic widespread pain, accompanied by fatigue, sleep disturbance including awakening unrefreshed, and cognitive symptoms. Other symptoms can include headaches, lower abdominal pain or cramps, and depression."
Food Poisoning,"Foodborne illness (also known as foodborne disease and food poisoning) is any illness resulting from the contamination of food by pathogenic bacteria, viruses, or parasites, as well as prions (the agents of mad cow disease), and toxins such as aflatoxins in peanuts, poisonous mushrooms, and various species of beans that have not been boiled for at least 10 minutes. While contaminants directly cause some symptoms, many effects of foodborne illness result from the body's immune response to these agents, which can vary significantly between individuals and populations based on prior exposure."
Frost Bite,No summary available.
GERD,"Gastroesophageal reflux disease (GERD) or gastro-oesophageal reflux disease (GORD)  is a chronic upper gastrointestinal disease in which stomach content persistently and regularly flows up into the esophagus, resulting in symptoms and/or complications. Symptoms include dental corrosion, dysphagia, heartburn, odynophagia, regurgitation, non-cardiac chest pain, extraesophageal symptoms such as chronic cough, hoarseness, reflux-induced laryngitis, or asthma."
Gaming disorder,"Video game addiction (VGA), also known as  gaming disorder or internet gaming disorder, is generally defined as a psychological addiction that is problematic, compulsive use of video games that results in significant impairment to an individual's ability to function in various life domains over a prolonged period of time. This and associated concepts have been the subject of considerable research, debate, and discussion among experts in several disciplines and has generated controversy within the medical, scientific, and gaming communities."
Gangrene,Gangrene is a type of tissue death caused by a lack of blood supply. The feet and hands are most commonly affected.
Gastroenteritis,"Gastroenteritis, also known as infectious diarrhea, is an inflammation of the gastrointestinal tract including the stomach and intestine. Symptoms may include diarrhea, vomiting, and abdominal pain."
Genital herpes,Genital herpes is a herpes infection of the genitals caused by the herpes simplex virus (HSV). Most people either have no or mild symptoms and thus do not know they are infected.
Glaucoma,Glaucoma is a group of eye diseases that can lead to damage of the optic nerve. The optic nerve transmits visual information from the eye to the brain.
Goitre,"A goitre (British English), or goiter (American English), is a swelling in the neck resulting from an enlarged thyroid gland. A goitre can be associated with a thyroid that is not functioning properly."
Gonorrhea,"Gonorrhoea or gonorrhea, colloquially known as the clap, is a sexually transmitted infection (STI) caused by the bacterium Neisseria gonorrhoeae. Infection may involve the genitals, mouth, or rectum."
Guillain-Barré syndrome,"Guillain–Barré syndrome (GBS) is a rapid-onset muscle weakness caused by the immune system damaging the peripheral nervous system. Typically, both sides of the body are involved, and the initial symptoms are changes in sensation or pain often in the back along with muscle weakness, beginning in the feet and hands, often spreading to the arms and upper body."
Haemophilia,"Haemophilia (British English), or hemophilia (American English) (from Ancient Greek  αἷμα (haîma) 'blood' and  φιλία (philía) 'love of'), is a mostly inherited genetic disorder that impairs the body's ability to make blood clots, a process needed to stop bleeding. This results in people bleeding for a longer time after an injury, easy bruising, and an increased risk of bleeding inside joints or the brain."
"Hand, Foot and Mouth Disease","Hand, foot, and mouth disease (HFMD) is a common infection caused by a group of enteroviruses. It typically begins with a fever and feeling generally unwell."
Heat-Related Illnesses and Heat waves,No summary available.
Hepatitis,"Hepatitis is inflammation of the liver tissue. Some people or animals with hepatitis have no symptoms, whereas others develop yellow discoloration of the skin and whites of the eyes (jaundice), poor appetite, vomiting, tiredness, abdominal pain, and diarrhea."
Hepatitis A,"Hepatitis A is an infectious disease of the liver caused by Hepatitis A virus (HAV); it is a type of viral hepatitis. Many cases have few or no symptoms, especially in the young."
Hepatitis B,Hepatitis B is an infectious disease caused by the hepatitis B virus (HBV) that affects the liver; it is a type of viral hepatitis. It can cause both acute and chronic infection.
Hepatitis C,"Hepatitis C is an infectious disease caused by the hepatitis C virus (HCV) that primarily affects the liver; it is a type of viral hepatitis. During the initial infection period, people often have mild or no symptoms."
Hepatitis D,"Hepatitis D is a type of viral hepatitis caused by the hepatitis delta virus (HDV). HDV is one of five known hepatitis viruses: A, B, C, D, and E. HDV is considered to be a satellite (a type of subviral agent) because it can propagate only in the presence of the hepatitis B virus (HBV)."
Hepatitis E,"Hepatitis E is inflammation of the liver caused by infection with the hepatitis E virus (HEV); it is a type of viral hepatitis. Hepatitis E has mainly a fecal-oral transmission route that is similar to hepatitis A, although the viruses are unrelated."
Herpes Simplex,"Herpes simplex, often known simply as herpes, is a viral infection caused by the herpes simplex virus. Herpes infections are categorized by the area of the body that is infected."
High risk pregnancy,"A high-risk pregnancy is a pregnancy where the gestational carrier or the fetus has an increased risk of adverse outcomes compared to uncomplicated pregnancies. No concrete guidelines currently exist for distinguishing “high-risk” pregnancies from “low-risk” pregnancies; however, there are certain studied conditions that have been shown to put the gestational carrier or fetus at a higher risk of poor outcomes."
Human papillomavirus,Human papillomavirus infection (HPV infection) is caused by a DNA virus from the Papillomaviridae family. Many HPV infections cause no symptoms and 90% resolve spontaneously within two years.
Hypermetropia,"Far-sightedness, also known as long-sightedness, hypermetropia, and hyperopia, is a condition of the eye where distant objects are seen clearly but near objects appear blurred. This blur is due to incoming light being focused behind, instead of on, the retina due to insufficient accommodation by the lens."
Hyperthyroidism,Hyperthyroidism is a endocrine disease in which the thyroid gland produces excessive amounts of thyroid hormones. Thyrotoxicosis is a condition that occurs due to elevated levels of thyroid hormones of any cause and therefore includes hyperthyroidism.
Hypothyroid,"Hypothyroidism is a endocrine disease in which the thyroid gland does not produce enough thyroid hormones. It can cause a number of symptoms, such as poor ability to tolerate cold, extreme fatigue, muscle aches, constipation, slow heart rate,  depression, and weight gain."
Hypotonia,"Hypotonia is a state of low muscle tone (the amount of tension or resistance to stretch in a muscle), often involving reduced muscle strength. Hypotonia is not a specific medical disorder, but it is a potential manifestation of many different diseases and disorders that affect motor nerve control by the brain or muscle strength."
Impetigo,"Impetigo is a contagious bacterial infection that involves the superficial skin. The most common presentation is yellowish crusts on the face, arms, or legs."
Inflammatory Bowel Disease,"Inflammatory bowel disease (IBD) is a group of inflammatory conditions of the colon and small intestine, with Crohn's disease and Ulcerative colitis (UC) being the principal types. Crohn's disease affects the small intestine and large intestine, as well as the mouth, esophagus, stomach and the anus, whereas UC primarily affects the colon and the rectum."
Influenza,"Influenza, commonly known as the flu, is an infectious disease caused by influenza viruses. Symptoms range from mild to severe and often include fever, runny nose, sore throat, muscle pain, headache, coughing, and fatigue."
Insomnia,"Insomnia, also known as sleeplessness, is a sleep disorder where people have difficulty sleeping. They may have difficulty falling asleep, or staying asleep for as long as desired."
Interstitial cystitis,"Interstitial cystitis (IC), a type of bladder pain syndrome (BPS), is chronic pain in the bladder and pelvic floor of unknown cause. Symptoms include feeling the need to urinate right away, needing to urinate often, and pain with sex."
Iritis,"Uveitis () is inflammation of the uvea, the pigmented layer of the eye between the inner retina and the outer fibrous layer composed of the sclera and cornea. The uvea consists of the middle layer of pigmented vascular structures of the eye and includes the iris, ciliary body, and choroid."
Iron Deficiency Anemia,No summary available.
Irritable bowel syndrome,"Irritable bowel syndrome (IBS) is a functional gastrointestinal disorder characterized by a group of symptoms that commonly include abdominal pain, abdominal bloating, and changes in the consistency of bowel movements. These symptoms may occur over a long time, sometimes for years."
Japanese Encephalitis,"Japanese encephalitis (JE) is an infection of the brain caused by the Japanese encephalitis virus (JEV). While most infections result in little or no symptoms, occasional inflammation of the brain occurs."
Jaundice,"Jaundice, also known as icterus, is a yellowish or greenish pigmentation of the skin and sclera due to high bilirubin levels. Jaundice in adults is typically a sign indicating the presence of underlying diseases involving abnormal heme metabolism, liver dysfunction, or biliary-tract obstruction."
Kala-azar/ Leishmaniasis,No summary available.
Kaposi’s Sarcoma,"Kaposi's sarcoma (KS) is a type of cancer that can form masses on the skin, in lymph nodes, in the mouth, or in other organs. The skin lesions are usually painless, purple and may be flat or raised."
Keratoconjunctivitis Sicca (Dry eye syndrome),No summary available.
Keratoconus,"Keratoconus (KC) is a disorder of the eye that results in progressive thinning and protrusion of the cornea. The protrusion of the cornea may result in blurry vision, double vision, nearsightedness, irregular astigmatism, and light sensitivity leading to poor quality-of-life."
Kuru,No summary available.
Laryngitis,"Laryngitis is inflammation of the larynx (voice box). Symptoms often include a hoarse voice and may include fever, cough, pain in the front of the neck, and trouble swallowing."
Lead poisoning,"Lead poisoning, also known as plumbism and saturnism, is a type of metal poisoning caused by lead in the body. Symptoms may include abdominal pain, constipation, headaches, irritability, memory problems, infertility, numbness and tingling in the hands and feet."
Legionellosis,"Legionnaires' disease is a form of atypical pneumonia caused by any species of Legionella bacteria, quite often Legionella pneumophila. Signs and symptoms include cough, shortness of breath, high fever, muscle pains, and headaches."
Leprosy,"Leprosy, also known as Hansen's disease (HD), is a long-term infection by the bacteria Mycobacterium leprae or Mycobacterium lepromatosis. Infection can lead to damage of the nerves, respiratory tract, skin, and eyes."
Leptospirosis,"Leptospirosis is a blood infection caused by the bacterium Leptospira that can infect humans, dogs, rodents and many other wild and domesticated animals. Signs and symptoms can range from none to mild (headaches, muscle pains, and fevers) to severe (bleeding in the lungs or meningitis)."
Leukemia,Leukemia (also spelled leukaemia; pronounced  loo-KEE-mee-ə) is a group of blood cancers that usually begin in the bone marrow and produce high numbers of abnormal blood cells. These blood cells are not fully developed and are called blasts or leukemia cells.
Lice,"Louse (pl.: lice) is the common name for any member of the clade Phthiraptera, which contains nearly 5,000 species of wingless parasitic insects. Phthiraptera has variously been recognized as an order, infraorder, or a parvorder, as a result of developments in phylogenetic research."
Lung cancer,"Lung cancer, also known as lung carcinoma, is a malignant tumor that begins in the lung. Lung cancer is caused by genetic damage to the DNA of cells in the airways, often caused by cigarette smoking or inhaling damaging chemicals."
Lupus erythematosus,"Lupus erythematosus is a collection of autoimmune diseases in which the human immune system becomes hyperactive and attacks healthy tissues. Symptoms of these diseases can affect many different body systems, including joints, skin, kidneys, blood cells, heart, and lungs."
Lyme disease,"Lyme disease, also known as Lyme borreliosis, is a tick-borne disease caused by species of Borrelia bacteria, transmitted by blood-feeding ticks in the genus Ixodes. The most common sign of infection is an expanding red rash, known as erythema migrans (EM), which appears at the site of the tick bite about a week afterwards."
Lymphoma,Lymphoma is a group of blood and lymph tumors that develop from lymphocytes (a type of white blood cell). The name typically refers to just the cancerous versions rather than all such tumours.
Mad cow disease,"Bovine spongiform encephalopathy (BSE), commonly known as mad cow disease, is an incurable and invariably fatal neurodegenerative disease of cattle. Symptoms include abnormal behavior, trouble walking, and weight loss."
Malaria,"Malaria is a mosquito-borne infectious disease that affects vertebrates and Anopheles mosquitoes. Human malaria causes symptoms that typically include fever, fatigue, vomiting, and headaches."
Marburg fever,"Marburg virus disease (MVD), formerly Marburg hemorrhagic fever (MHF) is a viral hemorrhagic fever in human and non-human primates caused by either of the two Marburgviruses: Marburg virus (MARV) and Ravn virus (RAVV). Its clinical symptoms are very similar to those of Ebola virus disease (EVD)."
Mastitis,"Mastitis is inflammation of the breast or udder, usually associated with breastfeeding. Symptoms typically include local pain and redness."
Measles,"Measles  (probably from Middle Dutch or Middle High German masel(e), meaning ""blemish, blood blister"") is a highly contagious, vaccine-preventable infectious disease caused by measles virus. Other names include morbilli, rubeola, 9-day measles, red measles, and English measles."
Melanoma,"Melanoma is the most dangerous type of skin cancer; it develops from the  melanin-producing cells known as melanocytes. It typically occurs in the skin, but may rarely occur in the mouth, intestines, or eye (uveal melanoma)."
Middle East respiratory syndrome coronavirus (MERS‐CoV),No summary available.
Migraine,"Migraine (UK: , US: ) is a complex neurological disorder characterized by episodes of moderate-to-severe headache, most often unilateral and generally associated with nausea, and light and sound sensitivity. Other characterizing symptoms may include vomiting, cognitive dysfunction, allodynia, and dizziness."
Mononucleosis,"Infectious mononucleosis (IM, mono), also known as glandular fever, is an infection usually caused by the Epstein–Barr virus (EBV). Most people are infected by the virus as children, when the disease produces few or no symptoms."
Mouth Breathing,No summary available.
Multiple myeloma,"Multiple myeloma (MM), also known as plasma cell myeloma and simply myeloma, is a cancer of plasma cells, a type of white blood cell that normally produces antibodies. Often, no symptoms are noticed initially."
Multiple sclerosis,"Multiple sclerosis (MS) is an autoimmune disease resulting in damage to myelin – the insulating covers of nerve cells – in the brain and spinal cord. As a demyelinating disease, MS disrupts the nervous system's ability to transmit signals, resulting in a range of signs and symptoms, including physical, mental, and sometimes psychiatric problems."
Mumps,"Mumps is a highly contagious viral disease caused by the mumps virus. Initial symptoms of mumps are non-specific and include fever, headache, malaise, muscle pain, and loss of appetite."
Muscular dystrophy,"Muscular dystrophies (MD) are a genetically and clinically heterogeneous group of rare neuromuscular diseases that cause progressive weakness and breakdown of skeletal muscles over time. The disorders differ as to which muscles are primarily affected, the degree of weakness, how fast they worsen, and when symptoms begin."
Myasthenia gravis,"Myasthenia gravis (MG) is a long-term neuromuscular junction disease that leads to varying degrees of skeletal muscle weakness. The most commonly affected muscles are those of the eyes, face, and swallowing."
Myelitis,"Myelitis is inflammation of the spinal cord which can disrupt the normal responses from the brain to the rest of the body, and from the rest of the body to the brain. Inflammation in the spinal cord can cause the myelin and axon to be damaged resulting in symptoms such as paralysis and sensory loss."
Myocardial Infarction (Heart Attack),No summary available.
Myopia,"Myopia, also known as near-sightedness and short-sightedness, is an eye disease where light from distant objects focuses in front of, instead of on, the retina. As a result, distant objects appear blurry, while close objects appear normal."
Narcolepsy,"Narcolepsy is a chronic neurological disorder that impairs the ability to regulate sleep–wake cycles, and specifically impacts REM (rapid eye movement) sleep. The pentad symptoms of narcolepsy include excessive daytime sleepiness (EDS), sleep-related hallucinations, sleep paralysis, disturbed nocturnal sleep (DNS), and cataplexy."
Nasal Polyps,No summary available.
Nausea and Vomiting of Pregnancy and  Hyperemesis gravidarum,No summary available.
Necrotizing Fasciitis,"Necrotizing fasciitis (NF), also known as flesh-eating disease, is an infection that kills the body's soft tissue. It is a serious disease that begins and spreads quickly."
Neonatal Respiratory Disease Syndrome(NRDS),No summary available.
Neoplasm,A neoplasm () is a type of abnormal and excessive growth of tissue. The process that occurs to form or produce a neoplasm is called neoplasia.
Neuralgia,"Neuralgia (Greek neuron, ""nerve"" + algos, ""pain"") is pain in the distribution of a nerve or nerves, as in intercostal neuralgia, trigeminal neuralgia, and glossopharyngeal neuralgia.


== Classification ==
Under the general heading of neuralgia are trigeminal neuralgia (TN), atypical trigeminal neuralgia (ATN), occipital neuralgia, glossopharyngeal neuralgia and postherpetic neuralgia (caused by shingles or herpes)."
Nipah virus infection,"Nipah virus infection is an infection caused by the Nipah virus. Symptoms from infection vary from none to fever, cough, headache, shortness of breath, and confusion."
Obesity,"Obesity is a medical condition, considered by multiple organizations to be a disease, in which excess body fat has accumulated to such an extent that it can potentially have negative effects on health. People are classified as obese when their body mass index (BMI)—a person's weight divided by the square of the person's height—is over 30 kg/m2; the range 25–30 kg/m2 is defined as overweight."
Obsessive Compulsive Disorder,"Obsessive–compulsive disorder (OCD) is a mental and behavioral disorder in which an individual has intrusive thoughts (an obsession) and feels the need to perform certain routines (compulsions) repeatedly to relieve the distress caused by the obsession, to the extent where it impairs general function.
Obsessions are persistent unwanted thoughts, mental images or urges that generate feelings of anxiety, disgust or discomfort."
Oral Cancer,"Oral cancer, also known as oral cavity cancer, tongue cancer or mouth cancer, is a cancer of the lining of the lips, mouth, or upper throat. In the mouth, it most commonly starts as a painless red or white patch, that thickens, gets ulcerated and continues to grow."
Orbital Dermoid,No summary available.
Osteoarthritis,"Osteoarthritis (OA) is a type of degenerative joint disease that results from breakdown of joint cartilage and underlying bone. It is believed to be the fourth leading cause of disability in the world, affecting 1 in 7 adults in the United States alone."
